0.1776,651.7683,1953.6027,735.1,,,average,errorbar,errorbar,std
0.1811,716.1174,2060.3159,993.2,,delivery_prob,0.183115,0.192589968,0.173640032,0.009474968
0.1934,635.7411,2117.7613,777.7,,overhead,672.278902,720.6635922,623.8942118,48.3846902
0.1742,741.7165,2120.3169,805.3,,hopcount_avg,1847.271342,2027.431937,1667.110747,180.1605952
0.1715,692.876,1795.682,650,,hopcount_med,823.852,932.0092186,715.6947814,108.1572186
0.1838,674.694,1869.216,897.1,,,,,,
0.1831,657.633,1845.5959,860.9,,,,,,
0.1824,716.1316,1790.5451,905.2,,,,,,
0.19,647.296,1698.222,821.4,,,,,,
0.1749,731.8118,1592.6604,692.9,,,,,,
0.1708,785.8233,1567.7329,797.9,,,,,,
0.1783,715.6577,2034.985,872.1,,,,,,
0.1797,630.6679,2132.1424,949.1,,,,,,
0.168,642.4367,2034.5449,944.8,,,,,,
0.1838,660.8881,1837.0922,731.3,,,,,,
0.1811,621.2197,2152.1875,1031.5,,,,,,
0.1859,688.6015,1706.2494,783.2,,,,,,
0.1818,687.9736,1865.9985,794.1,,,,,,
0.1749,595.2588,1887.829,1000.7,,,,,,
0.1914,658.3297,1751.8362,796.7,,,,,,
0.1804,702.9924,1781.6989,717.4,,,,,,
0.1811,692.9811,1694.6519,734,,,,,,
0.1866,632.9485,1677.5026,865.4,,,,,,
0.1859,741.3247,1973.6015,758.8,,,,,,
0.1797,649.4618,2268.2107,983.6,,,,,,
0.1831,709.3483,1847.3491,860.2,,,,,,
0.1742,664.9921,1965.626,898.4,,,,,,
0.1866,723.2463,1850.4577,690.6,,,,,,
0.1824,620.1729,2163.135,1020.6,,,,,,
0.1639,726.9331,2118.2372,755.3,,,,,,
0.192,696.1107,2033.6918,851.5,,,,,,
0.179,712.3065,1651.4421,779.5,,,,,,
0.1989,636.6,1834.5614,920.4,,,,,,
0.1756,594.5508,2343.1082,871,,,,,,
0.1776,671.7954,1858.9969,911.9,,,,,,
0.1626,826.7637,1608.6143,652.2,,,,,,
0.1687,659.4065,1817.8069,884.7,,,,,,
0.1859,739.7085,1781.0089,858.3,,,,,,
0.1708,652.1647,1829.8277,842.7,,,,,,
0.1824,706.4662,1764.0357,817,,,,,,
0.1797,692.6412,1856.8244,891.8,,,,,,
0.1914,637.233,1693.5595,839,,,,,,
0.1818,689.3283,2009.3132,882.4,,,,,,
0.1962,599.007,1696.9972,700.2,,,,,,
0.1907,629.0432,1732.155,896.1,,,,,,
0.1715,671.432,2077.3756,732.1,,,,,,
0.1728,674.4603,1939.5298,935.1,,,,,,
0.1962,674.5559,1549.5804,782.7,,,,,,
0.2003,560.0274,1963.8723,1013,,,,,,
0.1886,632.6218,2073.5724,806.3,,,,,,
0.1783,679.1731,1859.185,899.6,,,,,,
0.1722,711.8406,1687.6669,640.1,,,,,,
0.1831,684.1011,2097.2865,893.6,,,,,,
0.1831,620.9363,1840.4045,892.5,,,,,,
0.1914,604.7312,1755.5663,731.1,,,,,,
0.1893,604.2391,1676.2319,776.9,,,,,,
0.1763,726.4786,1880.0782,688.5,,,,,,
0.1859,616.9483,1915.9863,885,,,,,,
0.1831,658.2097,1949,802.4,,,,,,
0.1872,673.4103,1727.1557,854,,,,,,
0.192,672.4857,1740.2625,795.8,,,,,,
0.1831,703.3034,1830.0375,843.5,,,,,,
0.214,663.8301,1559.267,579.6,,,,,,
0.1811,721.7727,1768.4678,741.7,,,,,,
0.1941,601.4912,2219.5883,931.1,,,,,,
0.1845,690.2193,1687.023,708.9,,,,,,
0.1797,717.5992,1675.8324,828.4,,,,,,
0.1646,703.9917,1924.5725,907.2,,,,,,
0.1749,675.9725,1933.8584,983.6,,,,,,
0.2064,570.412,1716.2605,767.6,,,,,,
0.192,633.1321,1901.2893,918.7,,,,,,
0.1859,665.3173,1922.5494,854.6,,,,,,
0.1694,696.5263,1876.5543,801.1,,,,,,
0.1968,639.0314,1582.1049,693.3,,,,,,
0.1852,620.1185,1704.4148,897.1,,,,,,
0.1948,597.9014,1924.4158,835.2,,,,,,
0.1763,725.5759,1936.3327,833.7,,,,,,
0.1783,613.2538,1916.1096,875.3,,,,,,
0.1934,645.4078,1682.3117,675.8,,,,,,
0.1859,688.2989,1704.6745,761.4,,,,,,
0.1914,608.6918,1951.1495,1014.7,,,,,,
0.1811,763.1515,1712.0705,636.2,,,,,,
0.1564,758.5088,1714.3175,774.7,,,,,,
0.1941,686.53,1751.882,654.2,,,,,,
0.1852,655.7037,1775.8619,850.4,,,,,,
0.192,718.0536,1556.12,725.1,,,,,,
0.1838,620.3731,1859.7485,707.4,,,,,,
0.1749,715.8392,1533.5459,733.1,,,,,,
0.1824,653.5113,2000.988,1028.3,,,,,,
0.1763,717.3774,1580.437,677.5,,,,,,
0.1845,671.2268,2064.268,925.8,,,,,,
0.1927,631.2491,1897.3441,906.9,,,,,,
0.1975,656.4236,1607.0993,694.6,,,,,,
0.1715,675.244,1693.94,760.4,,,,,,
0.1824,625.8233,1928.9233,983.5,,,,,,
0.1982,622.2768,1965.9138,966,,,,,,
0.1879,742.0109,1863.7985,715.7,,,,,,
0.177,741.3488,1487.4547,579,,,,,,
0.1797,716.0534,1691.4691,734.9,,,,,,
0.1859,649.5166,2225.4539,1027.1,,,,,,
