0.1803,9.0871,1149.9133,590.1,,,average,errorbar,errorbar,std
0.1858,8.0625,921.2647,584.3,,delivery_prob,0.218597,0.254927001,0.182266999,0.036330001
0.196,13.122,1085.73,608,,overhead,8.445781,10.25607856,6.635483442,1.810297558
0.1995,8.0137,1065.4521,658.3,,hopcount_avg,982.561654,1113.462899,851.6604086,130.9012454
0.2213,11.0957,811.2642,458.2,,hopcount_med,605.959,713.5208902,498.3971098,107.5618902
0.2384,10.0516,900.343,566.5,,,,,,
0.2671,6.6164,961.8813,655.4,,,,,,
0.1913,6.4393,1148.2054,631.7,,,,,,
0.2589,7.0185,935.6507,651.9,,,,,,
0.222,6.1569,999.2917,668.1,,,,,,
0.2541,8.0134,857.3616,605.2,,,,,,
0.1783,7.2874,1249.8655,747.6,,,,,,
0.2452,7.766,1054.9635,665.8,,,,,,
0.1872,8.0693,886.7026,600.9,,,,,,
0.2514,6.9402,1011.9943,655.4,,,,,,
0.194,7.3099,1080.2067,724.3,,,,,,
0.2104,8.5779,995.564,587.1,,,,,,
0.2131,7.4327,1047.2702,666.4,,,,,,
0.1974,10.1557,1018.6872,589.7,,,,,,
0.2582,9.0503,967.2304,665.8,,,,,,
0.2234,7.3394,1040.4881,699.8,,,,,,
0.2869,8.8429,895.6317,616.5,,,,,,
0.2814,11.3811,772.7658,408.4,,,,,,
0.224,7.9909,1116.3152,609,,,,,,
0.1462,6.3505,908.2369,500.9,,,,,,
0.2411,7.5269,1099.3099,643.8,,,,,,
0.1667,8.9795,1006.9676,639.7,,,,,,
0.2459,6.7639,992.8878,616.9,,,,,,
0.291,8.493,999.7805,669.8,,,,,,
0.2343,7.1516,942.6364,674.1,,,,,,
0.1899,6.8849,1093.7558,687.2,,,,,,
0.181,11,1188.9313,698,,,,,,
0.2534,9,915.9062,551.2,,,,,,
0.2077,13.6184,717.3803,356,,,,,,
0.1612,6.5424,996.203,639.4,,,,,,
0.1755,8.3346,1070.8047,715.8,,,,,,
0.2001,6.5836,1196.1519,748.4,,,,,,
0.2445,13.3575,748.4092,219.5,,,,,,
0.2842,6.762,832.9101,571.7,,,,,,
0.2425,10.3493,923.4135,420.6,,,,,,
0.2719,9.9899,707.8156,391.8,,,,,,
0.2193,7.676,790.2819,513.4,,,,,,
0.2329,8.305,1076.095,666.6,,,,,,
0.1837,5.5316,1130.0914,859.7,,,,,,
0.2657,8.5913,908.7152,550.1,,,,,,
0.1673,7.4735,815.7188,506.7,,,,,,
0.2275,10.1321,921.0168,482.5,,,,,,
0.2056,9.7243,871.3957,415.1,,,,,,
0.2548,7.3485,1033.6705,645.7,,,,,,
0.2104,9.6169,919.0987,424.2,,,,,,
0.2439,8.6583,835.1689,502.7,,,,,,
0.1742,12.3451,961.0004,610,,,,,,
0.2179,6.2038,1052.974,726.9,,,,,,
0.1913,9.3607,960.5521,552.6,,,,,,
0.1742,8.4118,1103.6796,704.6,,,,,,
0.2138,9.639,1049.6262,649.4,,,,,,
0.1626,8.9874,952.1723,650.3,,,,,,
0.1537,9.7911,846.9329,627.7,,,,,,
0.2766,9.0519,890.0202,546.2,,,,,,
0.2275,9.2192,855.1739,520.5,,,,,,
0.2316,9.8673,1042.9018,587.9,,,,,,
0.2309,11.5178,823.2888,552.3,,,,,,
0.2835,12.3831,726.4773,244.3,,,,,,
0.2036,8.2349,852.0732,626.2,,,,,,
0.1776,6.2462,1074.1946,750.7,,,,,,
0.1933,6.3604,993.5502,748.3,,,,,,
0.2411,8.8782,888.5737,608.4,,,,,,
0.1749,8.7734,1046.0914,580.1,,,,,,
0.2131,6.1154,1229.2821,713.1,,,,,,
0.2425,5.8056,1103.7893,711.8,,,,,,
0.1933,6.5088,995.2862,699.3,,,,,,
0.2165,8.53,1034.3883,672.4,,,,,,
0.1988,8.1512,945.3986,644.6,,,,,,
0.2015,7.2068,909.2115,571.9,,,,,,
0.2493,6.9479,1095.7088,710.4,,,,,,
0.2165,5.4826,1262.3271,717,,,,,,
0.235,6.7733,992.4645,620.5,,,,,,
0.2083,7.5869,994.2003,680.8,,,,,,
0.224,8.2073,1045.8726,591,,,,,,
0.2398,7.6467,1056.0954,675.3,,,,,,
0.1557,8.6579,1063.1311,616.7,,,,,,
0.237,9.8646,875.9115,521.1,,,,,,
0.2104,10.5877,950.8195,567.6,,,,,,
0.1803,7.0606,1381.9356,725.5,,,,,,
0.1837,8.0297,979.7517,530.9,,,,,,
0.1974,7.0692,983.4882,662.9,,,,,,
0.2493,8.6356,1026.8962,705.9,,,,,,
0.194,6.3873,1356.0736,735.8,,,,,,
0.2206,9.0279,864.5464,525.8,,,,,,
0.2971,10.6874,751.8349,361,,,,,,
0.1913,8.6321,838.1214,533.5,,,,,,
0.3108,9.0044,1028.7092,679.6,,,,,,
0.1885,8.8007,1086.9978,717.1,,,,,,
0.2425,8.7831,1051.7301,693.3,,,,,,
0.1585,6.7586,1097.956,612.2,,,,,,
0.2288,7.3254,834.5358,547.6,,,,,,
0.1728,14.0277,906.0996,534,,,,,,
0.2432,7.5449,942.4874,629.2,,,,,,
0.25,7.6093,821.3361,550.5,,,,,,
0.2671,7.2839,1013.6992,625.3,,,,,,
