0.1778,0.1853,635.0004,544.4,,,average,errorbar,errorbar,std
0.14,0.2059,806.4505,624.7,,delivery_prob,0.170491,0.22800306,0.11297894,0.05751206
0.2059,0.17,691.5297,580.1,,overhead,0.936813,1.880661995,-0.007035995,0.943848995
0.2025,0.1085,658.0325,523,,hopcount_avg,653.770667,768.4706138,539.0707202,114.6999468
0.1688,0.5041,551.4915,400.6,,hopcount_med,480.878,584.9711979,376.7848021,104.0931979
0.14,0.4559,559.899,314.4,,,,,,
0.1428,1.3942,646.7409,538.9,,,,,,
0.1853,0.6519,506.1785,294,,,,,,
0.2032,0.6284,597.6507,441.5,,,,,,
0.1613,0.0681,584.5694,438,,,,,,
0.1709,0.3253,662.7876,558.6,,,,,,
0.173,0.2817,610.4095,504.8,,,,,,
0.1325,1.9585,769.7052,575.8,,,,,,
0.1441,1.719,759.44,590.8,,,,,,
0.1441,0.0429,723.6029,614.1,,,,,,
0.0947,0.1232,605.0167,408,,,,,,
0.2766,0.1365,501.7186,351.4,,,,,,
0.1853,1.5852,878.2556,493.7,,,,,,
0.0748,2.8165,812.155,586.4,,,,,,
0.291,0.4835,753.0851,544.5,,,,,,
0.1489,1.9401,833.4894,478.9,,,,,,
0.1249,1.1429,989.8374,614.7,,,,,,
0.1174,1.2632,558.0444,428.8,,,,,,
0.2189,0.094,620.4991,519.9,,,,,,
0.1242,1.9558,722.6326,550.8,,,,,,
0.1709,3.494,802.5944,590.2,,,,,,
0.0817,0.2101,700.0437,556.3,,,,,,
0.2141,3.9679,564.6096,334.9,,,,,,
0.1839,0.709,761.5358,671.7,,,,,,
0.3397,0.0949,681.3188,566.9,,,,,,
0.0872,1.2677,750.0134,545.8,,,,,,
0.1489,1.8157,712.8982,558.4,,,,,,
0.1153,2.0119,603.2244,460.6,,,,,,
0.151,0.3182,684.9073,499.6,,,,,,
0.1949,3.2676,758.5708,572.3,,,,,,
0.2093,0.3115,663.6879,573.6,,,,,,
0.1771,0.1008,661.7182,508.6,,,,,,
0.1544,0.9422,488.2831,229.8,,,,,,
0.1482,2.0509,602.9083,497.1,,,,,,
0.2567,0.0802,696.3727,613,,,,,,
0.127,0.9676,623.6427,490.9,,,,,,
0.3638,0.0415,709.8825,620.3,,,,,,
0.1654,0.2241,573.51,432.3,,,,,,
0.1661,1.1157,552.7645,400.8,,,,,,
0.3308,1.0954,670.3407,540.5,,,,,,
0.1778,0.1467,584.9695,462,,,,,,
0.1043,1.8487,638.6888,474.6,,,,,,
0.2162,0.1619,404.6241,203,,,,,,
0.1126,0.128,670.4622,582,,,,,,
0.1215,0.1073,440.2102,298.7,,,,,,
0.0782,0.3509,606.1789,362.9,,,,,,
0.2196,0.2156,439.1775,265.9,,,,,,
0.2951,2.7302,634.2012,513.7,,,,,,
0.1984,0.1592,518.9661,365.2,,,,,,
0.1345,1.2092,663.8092,509,,,,,,
0.1071,2.3462,628.8064,502.5,,,,,,
0.1723,0.1594,712.9187,547.9,,,,,,
0.197,1.0418,664.6091,524.2,,,,,,
0.1544,0.2444,595.7902,328.5,,,,,,
0.1839,0.1119,624.469,520.4,,,,,,
0.1867,0.4044,614.9004,469.6,,,,,,
0.1654,0.3651,528.8091,382.3,,,,,,
0.1702,0.3468,620.4786,469,,,,,,
0.0741,1.5556,599.288,484.6,,,,,,
0.1393,1.6256,550.8552,366.7,,,,,,
0.173,0.0873,604.8306,486.6,,,,,,
0.0604,1.5341,1075.558,664.3,,,,,,
0.1778,0.1737,533.7927,360.7,,,,,,
0.2457,2.2709,623.1173,511.3,,,,,,
0.1654,2.8714,678.1311,510.1,,,,,,
0.1757,1.7383,611.3848,322.9,,,,,,
0.1682,0.2816,503.9894,262.1,,,,,,
0.2347,2.1053,690.9374,557.1,,,,,,
0.1791,2.6398,858.6636,582.1,,,,,,
0.1853,0.0704,558.0489,455.9,,,,,,
0.1791,0.1992,625.6536,439.1,,,,,,
0.1421,0.2995,607.0159,423,,,,,,
0.1517,2.543,751.7199,582.4,,,,,,
0.1984,0.3218,633.4803,514.8,,,,,,
0.2148,0.1054,764.3773,544,,,,,,
0.1496,0.1009,587.5601,445.5,,,,,,
0.081,1.3136,1027.8822,535.3,,,,,,
0.1592,0.1207,688.478,575.8,,,,,,
0.2656,0.3618,486.6858,280,,,,,,
0.0631,1.0978,831.9228,441,,,,,,
0.1524,2.7162,563.5995,256.1,,,,,,
0.1565,0.7632,694.7662,572.8,,,,,,
0.1558,0.9339,683.0617,490.4,,,,,,
0.2011,2.3959,657.2495,550.5,,,,,,
0.2004,0.0925,482.4678,303.6,,,,,,
0.2773,0.5842,531.2381,385.3,,,,,,
0.1833,0.2434,650.2416,557.9,,,,,,
0.0789,0.8261,675.3287,576.4,,,,,,
0.1846,0.1078,690.6509,576.7,,,,,,
0.1057,1.7662,704.2734,481.2,,,,,,
0.1894,0.5761,587.7547,461,,,,,,
0.1743,0.0945,572.3028,341.1,,,,,,
0.1874,1.381,717.2905,550,,,,,,
0.1139,1.2711,702.4807,555,,,,,,
0.1743,0.1063,677.8693,518.7,,,,,,
