0.1824,453.9774,1834.9365,798.3,,,average,errorbar,errorbar,std
0.1907,500.6619,1755.1475,687.9,,delivery_prob,0.18632,0.196432728,0.176207272,0.010112728
0.179,549.5287,1865.5548,775.6,,overhead,521.164562,553.5684947,488.7606293,32.40393267
0.192,567.4107,1925.7521,790.7,,hopcount_avg,1823.363716,1995.195414,1651.532018,171.8316985
0.1763,564.3813,1924.4813,770.8,,hopcount_med,789.466,897.9490781,680.9829219,108.4830781
0.2003,523.911,2029.5432,739.8,,,,,,
0.1715,573.672,1823.7608,724.3,,,,,,
0.1831,533.3109,1766.667,826.5,,,,,,
0.1749,575.3569,1485.2404,755.2,,,,,,
0.1818,545.6377,1931.5268,829.8,,,,,,
0.1818,563.2075,1540.8011,726.7,,,,,,
0.1804,492.0798,1756.5262,738.1,,,,,,
0.1996,527.4845,1700.221,818.7,,,,,,
0.1667,583.0535,1776.7115,720.2,,,,,,
0.1824,504.2406,1827.7139,699.7,,,,,,
0.177,582.1318,1723.1508,810.7,,,,,,
0.1701,517.9435,2213.3859,805.4,,,,,,
0.1886,499.7055,1923.3862,823.2,,,,,,
0.1639,571.4017,1775.3113,907,,,,,,
0.1811,532.2614,2067.2788,812.4,,,,,,
0.2051,494.1271,1947.9144,802.9,,,,,,
0.1934,502.3936,1683.9762,708,,,,,,
0.1866,510.0037,1595.4449,604.7,,,,,,
0.1927,512.8078,1990.5609,909.4,,,,,,
0.1831,512.8839,1900.4112,1020.4,,,,,,
0.1859,518.3321,1786.6181,814.6,,,,,,
0.1866,533.9559,1756.8585,640.9,,,,,,
0.177,549.7248,1973.2047,706.5,,,,,,
0.1804,490.7757,2009.7414,847.2,,,,,,
0.1728,552.8492,2270.8262,923.2,,,,,,
0.1914,553.9319,1866.1401,875.1,,,,,,
0.1708,549.3574,1752.1245,684.2,,,,,,
0.2071,459.3974,1891.4974,857.1,,,,,,
0.1852,486.763,1968.8307,799.7,,,,,,
0.1749,568.0627,1541.8282,703.7,,,,,,
0.1763,534.1284,1886.3257,774.3,,,,,,
0.1914,496.0287,1992.257,897.8,,,,,,
0.1763,528.1518,2055.7475,717.2,,,,,,
0.1914,499.4158,1626.8681,562.4,,,,,,
0.179,532.5517,1521.3054,532,,,,,,
0.2071,468.9868,1739.3301,708.5,,,,,,
0.1715,556.744,1919.14,840.1,,,,,,
0.1824,542.9662,1946.5996,789.7,,,,,,
0.1831,535.9738,1754.173,674.8,,,,,,
0.2064,462.9302,1852.311,674.8,,,,,,
0.177,495.4496,1930.9124,834,,,,,,
0.192,516.1429,1780.2793,705.4,,,,,,
0.1818,541.2528,1710.3566,864,,,,,,
0.1975,463.8819,1922.2535,1017.9,,,,,,
0.1708,527.6064,2122.2859,898.1,,,,,,
0.1975,500.3889,1731.7851,837.7,,,,,,
0.179,496.9042,1739.9847,640.2,,,,,,
0.1763,535.9027,1702.6518,784.9,,,,,,
0.1797,565.6221,1793.2798,867.9,,,,,,
0.1982,501.0484,1933.6073,907.7,,,,,,
0.1886,529.0582,1974.5262,866.7,,,,,,
0.1811,531.3106,1619.7527,744,,,,,,
0.1886,494.0909,1671.6949,829.2,,,,,,
0.1831,528.9625,1652.4719,713.6,,,,,,
0.1962,513.6399,2194.3392,809.6,,,,,,
0.19,517.5668,1859.9397,994.9,,,,,,
0.1872,576.5348,1918.589,823.4,,,,,,
0.1667,541.0041,1728.8099,617,,,,,,
0.2023,486.6271,1892.1095,675.9,,,,,,
0.2058,463.42,1934.9173,928.3,,,,,,
0.1955,492.8632,1683.2779,692.2,,,,,,
0.1886,539.2873,1894.1185,888.8,,,,,,
0.2003,523.4555,1669.9945,793.7,,,,,,
0.1845,520.6506,1694.9383,864.5,,,,,,
0.1852,517.1556,1802.22,985.7,,,,,,
0.1948,468.0211,1831.706,747.2,,,,,,
0.1859,510.7601,1866.5941,671.9,,,,,,
0.1776,492.6216,1580.5799,766.8,,,,,,
0.1927,488.637,2175.0509,908.9,,,,,,
0.192,505.4357,1730.255,775.2,,,,,,
0.2051,494.3278,2024.4254,839.3,,,,,,
0.1831,511,1902.6929,910.9,,,,,,
0.1886,506.8764,1737.4618,764.1,,,,,,
0.1948,509.0599,1746.2489,730.6,,,,,,
0.1907,524.9173,1738.6162,875.7,,,,,,
0.168,595.7388,2068.1237,740,,,,,,
0.1852,578.8,1525.5993,558.5,,,,,,
0.1722,572.5378,1889.9701,898.8,,,,,,
0.1845,510.0595,1860.3416,1067.1,,,,,,
0.2064,476.7674,1708.5678,716.7,,,,,,
0.192,516.4179,1735.3157,646.6,,,,,,
0.1831,513.382,1870.4573,762.5,,,,,,
0.2037,497.5657,1600.1256,752.7,,,,,,
0.1893,533.7572,1882.3304,892.3,,,,,,
0.1941,548.2191,1931.088,715.4,,,,,,
0.19,500.6318,1665.4108,787.5,,,,,,
0.19,520.7942,1618.9458,747.8,,,,,,
0.1866,482.7537,1847.6717,996.7,,,,,,
0.1941,493.4523,1544.7138,700.3,,,,,,
0.1886,490.0036,1920.1484,795,,,,,,
0.1859,510.6753,1891.8221,798.6,,,,,,
0.179,560.7663,1437.8284,663.4,,,,,,
0.1982,466.737,1561.0588,669.7,,,,,,
0.1797,521.5191,2295.7229,1110.1,,,,,,
0.1811,579.7917,1711.2705,720.8,,,,,,
