0.1872,558.2454,1814.7883,811.3,,,average,errorbar,errorbar,std
0.1845,616.3903,1814.5126,766.2,,delivery_prob,0.185321,0.195950398,0.174691602,0.010629398
0.1811,597.25,1952.6909,953.6,,overhead,604.035729,641.6638429,566.4076151,37.62811394
0.1694,617.7287,1791.3773,821,,hopcount_avg,1865.64985,2027.737479,1703.562221,162.0876292
0.1982,553.1349,1974.609,946.1,,hopcount_med,816.592,917.8074584,715.3765416,101.2154584
0.1927,604,1931.879,722.8,,,,,,
0.179,602.9195,2006.5544,867.9,,,,,,
0.1996,597.6082,1931.4292,916.7,,,,,,
0.1859,644.9225,1729.8815,726.6,,,,,,
0.1742,614.1732,1858.3031,862.9,,,,,,
0.1735,659.8893,1605.4545,759.1,,,,,,
0.1955,606.8772,1636.9137,773.6,,,,,,
0.1783,625.1538,2082.0804,1045.6,,,,,,
0.1852,590.5889,1817.0222,655.7,,,,,,
0.1859,565.5609,1861.1339,730.7,,,,,,
0.1735,640.5336,1733.9229,858.2,,,,,,
0.1694,632.4615,1835.9441,762.9,,,,,,
0.1907,594.7806,1629.1554,619.6,,,,,,
0.1776,666.7722,1755.9251,705.4,,,,,,
0.1824,630.1466,1749.7229,858.7,,,,,,
0.1955,577.3649,2050.9814,887.5,,,,,,
0.1735,671.6245,1713.8625,783.9,,,,,,
0.1715,603.48,1810.4252,962.4,,,,,,
0.1955,533.6491,2105.9049,900.5,,,,,,
0.2016,591.6224,1988.3946,1006.1,,,,,,
0.1783,632.9923,1807.6642,748.1,,,,,,
0.179,607.4176,1560.4897,824.9,,,,,,
0.1941,573.4947,1792.458,838.4,,,,,,
0.192,588.2607,1898.0261,803.7,,,,,,
0.1639,672.5774,1957.8305,660.3,,,,,,
0.192,527.9536,2121.4832,950.5,,,,,,
0.1797,572.3702,1865.0019,837.2,,,,,,
0.1783,641.6769,1648.17,746.6,,,,,,
0.1907,580.4173,2168.5471,1067.4,,,,,,
0.1804,589.6768,1767.8943,861.3,,,,,,
0.1866,621.8713,1764.879,727.1,,,,,,
0.1756,641.1484,2101.4195,945.7,,,,,,
0.2023,597.8475,1622.5702,656.8,,,,,,
0.2003,562.863,1936.5675,717.3,,,,,,
0.179,673.1264,1942.3709,730.8,,,,,,
0.1886,620.0764,1698.6382,880.2,,,,,,
0.2064,552.8472,1692.4551,836.2,,,,,,
0.1831,650.4457,1748.6929,717.2,,,,,,
0.1735,585.4466,1742.7407,711.8,,,,,,
0.1948,548.8556,1961.6338,860.9,,,,,,
0.1776,607.5058,1613.8529,629.5,,,,,,
0.1886,626.9709,1626.5531,772,,,,,,
0.1722,629.7888,1964.0414,842.6,,,,,,
0.1824,593.4173,1941.1451,919.7,,,,,,
0.1742,598.9055,1852.1063,765.7,,,,,,
0.2023,622.6305,1877.2427,824.2,,,,,,
0.1667,661.6337,2015.9753,848.5,,,,,,
0.1756,608.4648,2025.7594,1029.7,,,,,,
0.1756,614.7891,1665.5402,773.5,,,,,,
0.2064,581.6412,2044.1973,1137,,,,,,
0.2078,560.2277,2008.3855,828.6,,,,,,
0.1941,652.7739,1732.07,751.2,,,,,,
0.1783,610.5,1928.1881,724.1,,,,,,
0.1859,569.4649,2011.6856,696.4,,,,,,
0.2044,518.4899,2113.7248,757,,,,,,
0.1674,665.1721,1687.2594,853.5,,,,,,
0.1831,619.3333,1669.9865,787.6,,,,,,
0.1845,651.7993,1570.7855,683.4,,,,,,
0.1845,589,2106.1186,916.4,,,,,,
0.1907,582.1547,2410.077,934.1,,,,,,
0.177,591.5116,1942.5112,837.4,,,,,,
0.19,609.5018,2040.4477,927.9,,,,,,
0.1818,583.3547,2111.4317,816.8,,,,,,
0.1852,615.6852,1918.7411,882.4,,,,,,
0.1886,580.9673,1768.9076,843.2,,,,,,
0.1859,578.5461,1927.197,783.1,,,,,,
0.1872,619.6154,2028.5923,757.6,,,,,,
0.1838,618.7052,1795.6507,738,,,,,,
0.1715,642.224,1861.992,957.2,,,,,,
0.1756,583.7891,1679.5918,781.4,,,,,,
0.1886,621.7927,1873.4604,743.5,,,,,,
0.1776,635.4517,2038.4166,739.6,,,,,,
0.1742,643.6457,1806.6823,685.5,,,,,,
0.203,552.7939,1864.4176,884.5,,,,,,
0.2016,573.8061,2208.6435,993.9,,,,,,
0.1626,679.7468,1945.1219,701.8,,,,,,
0.1694,681.081,1919.353,851.5,,,,,,
0.19,559.1191,1971.7758,739.7,,,,,,
0.1989,604.7828,1994.6414,799.9,,,,,,
0.1735,660.0474,1739.3399,713.3,,,,,,
0.1907,602.7266,1700.2198,799.2,,,,,,
0.1818,584.5094,1807.1094,745.3,,,,,,
0.1914,569.8996,1783.5484,811.7,,,,,,
0.1879,561.7993,2174.9989,1012.2,,,,,,
0.2064,619.4452,1746.5292,731.3,,,,,,
0.1763,620.3074,1810.3008,859.9,,,,,,
0.1907,606.3597,1941.0471,809.4,,,,,,
0.1893,553.1884,1910.8989,928,,,,,,
0.1879,557.8139,1817.8095,895.4,,,,,,
0.2058,576.9933,1764.0827,788.1,,,,,,
0.1811,633.9356,1648.6027,760.1,,,,,,
0.1818,634.9811,1623.6838,745.5,,,,,,
0.192,580.1214,1786.4504,725.8,,,,,,
0.1852,491.0593,1830.3507,785.4,,,,,,
0.1955,571.3579,1935.3407,781.6,,,,,,
