0.2819,0.7143,2188.2949,1110.3000
0.2628,3.8286,2311.8348,1156.7000
0.3188,1.6231,2108.2649,1096.5000
0.3256,0.1530,2278.2673,1203.8000
0.3406,0.5451,2130.8689,1174.4000
0.3058,2.7500,1967.5703,1124.1000
0.2601,2.0079,2203.8543,1170.7000
0.2915,47.2881,2112.8719,911.9000
0.2601,51.8609,2085.6370,1140.6000
0.2737,6.8753,2479.0823,1380.3000
0.2908,0.2183,2553.0068,1184.8000
0.3085,1.9115,2392.6865,1316.1000
0.2983,0.1693,2688.5899,1653.5000
0.2587,1.2533,2322.8113,1188.2000
0.3106,1.1099,2066.7009,1230.9000
0.3078,1.1973,2164.6268,1088.1000
0.2587,20.1478,2376.9166,1422.7000
0.2874,38.2969,1991.5238,1090.4000
0.2812,2.2087,2396.9934,1307.6000
0.3447,0.4792,2274.2622,1255.2000
0.3440,0.8393,1969.9587,1103.9000
0.4232,1.3839,2345.2402,1305.2000
0.2348,0.6860,2315.7779,1350.5000
0.2962,3.1198,2338.0316,1266.7000
0.2724,0.7093,2408.0414,1334.1000
0.3495,0.7715,2298.4482,1277.1000
0.3625,0.1977,2319.4810,1358.7000
0.2805,0.8662,2830.2927,1319.5000
0.2457,2.1306,2250.1958,1146.0000
0.3502,3.1852,2504.1930,1276.3000
0.2956,0.4804,1838.6199,955.4000
0.3031,16.4910,2437.1714,1255.9000
0.3065,0.4811,2425.3013,1302.0000
0.2648,0.7423,2735.2057,1497.8000
0.2423,2.9972,2504.9882,1370.1000
0.3666,2.9609,1821.7287,1012.5000
0.3461,0.4892,2547.0132,1405.6000
0.3611,0.4518,2000.0834,1126.1000
