0.181,227.6302,1666.237,769,,,average,errorbar,errorbar,std
0.1667,280.2459,1864.4787,978.4,,delivery_prob,0.182113,0.1940018,0.1702242,0.0118888
0.1796,218.365,1619.9038,779.5,,overhead,274.916053,301.9746691,247.8574369,27.05861607
0.1749,294.5625,1898.1258,954.8,,hopcount_avg,1878.161285,2074.124446,1682.198124,195.9631609
0.179,286.5687,2062.6336,867.4,,hopcount_med,813.574,945.4691578,681.6788422,131.8951578
0.1858,317.5441,1785.7316,650.6,,,,,,
0.1701,275.3855,1776.7827,839.5,,,,,,
0.1605,316.8979,1841.3506,873.8,,,,,,
0.1701,258.7671,2103.5193,904.4,,,,,,
0.1824,269.2622,1699.4625,753,,,,,,
0.1899,261.9712,1892.754,822.3,,,,,,
0.1831,278.7351,1692.3597,891.3,,,,,,
0.1919,250.6512,1612.589,708.7,,,,,,
0.1783,272.3257,1583.6169,547.8,,,,,,
0.1865,244.5971,2186.3839,909.3,,,,,,
0.1995,261.6404,2068.4079,904.1,,,,,,
0.153,240.9464,2305.8397,1011.7,,,,,,
0.1701,297.3614,1745.3871,483,,,,,,
0.1762,285.9767,1699.5969,738.3,,,,,,
0.194,247.4261,1770.4349,734.2,,,,,,
0.1947,231.214,1897.9263,756.5,,,,,,
0.1769,303.3938,1916.5386,785.5,,,,,,
0.1906,308.7778,1885.3717,701.3,,,,,,
0.1831,262.3619,1646.8862,845.2,,,,,,
0.1673,290.9878,1861.3861,753,,,,,,
0.1885,277.7536,1646.5819,880.4,,,,,,
0.1701,284.7108,1944.0406,877.6,,,,,,
0.181,273.717,2148.9015,840.4,,,,,,
0.1885,248.6812,1890.9069,877.9,,,,,,
0.1933,299.8516,1839.6177,710.3,,,,,,
0.1803,286.8409,1756.072,817.1,,,,,,
0.1783,257.8889,2073.1839,1131.9,,,,,,
0.1755,285.0856,1729.8319,904,,,,,,
0.1783,230.2874,2006.9678,786.8,,,,,,
0.2022,253.1858,2030.9787,761.3,,,,,,
0.1728,292.8577,2114.6798,975.3,,,,,,
0.181,299.2453,1824.8747,674.6,,,,,,
0.2015,278.322,2076.6763,956.3,,,,,,
0.1687,329.6478,2023.7441,794.6,,,,,,
0.1742,323.7176,1669.3443,738.1,,,,,,
0.1714,268.8486,1976.0378,842.5,,,,,,
0.1865,274.9451,1853.2553,907,,,,,,
0.1865,266.1099,2311.496,891.3,,,,,,
0.2001,269.5461,1803.9925,740.5,,,,,,
0.1755,322.5331,1975.3502,688.5,,,,,,
0.1755,234.6459,1645.4821,747.5,,,,,,
0.1933,302.3251,1815.0551,671,,,,,,
0.1769,276.6216,2101.7039,926.7,,,,,,
0.194,249.2641,1715.7412,701.8,,,,,,
0.1393,284.8676,2115.948,936.7,,,,,,
0.1906,278.4158,1826.7943,729.5,,,,,,
0.1646,258.805,1935.0058,802.1,,,,,,
0.1872,295.7518,1864.362,858,,,,,,
0.1783,255.1418,1682.1801,735.8,,,,,,
0.1913,263.6214,2024.3771,981.9,,,,,,
0.1933,238.106,2114.2389,1037.5,,,,,,
0.1633,292.4142,1617.1628,694.4,,,,,,
0.1551,308.1762,1796.2291,687.7,,,,,,
0.1817,273.2556,1723.9887,576.8,,,,,,
0.1906,244.3692,2047.733,879.3,,,,,,
0.1865,232.4945,2177.985,1150.7,,,,,,
0.2063,262.2417,2137.749,979.6,,,,,,
0.1831,294.8134,1457.5616,674.6,,,,,,
0.1981,248.4862,2055.6286,709.9,,,,,,
0.1858,255.7463,1834.2496,961.2,,,,,,
0.1995,323.1712,1590.2017,704.7,,,,,,
0.1967,280.3958,1839.5208,840,,,,,,
0.1954,224.4231,2138.2,1054.5,,,,,,
0.1796,322.4639,2003.1384,636.2,,,,,,
0.1988,256.3711,1837.1347,850.1,,,,,,
0.1954,247.7203,1822.0227,872.5,,,,,,
0.1783,338.4368,2089.7966,705.6,,,,,,
0.1892,258.4477,1967.0957,806.8,,,,,,
0.1967,265.2986,1958.6076,837.1,,,,,,
0.1749,267.7734,1920.6422,785.7,,,,,,
0.1762,294.7907,1535.4942,676,,,,,,
0.1837,263.145,1751.2208,734.7,,,,,,
0.1796,258.9962,2048.5498,843.1,,,,,,
0.1749,311.8164,1731.1395,756.3,,,,,,
0.1919,270.8648,1854.474,717.8,,,,,,
0.1742,266.6392,2243.9796,1273,,,,,,
0.1769,336.749,1602.3347,688.9,,,,,,
0.1817,269.0789,2021.5914,903.2,,,,,,
0.1701,279.0562,2297.1293,1037,,,,,,
0.1714,307.2709,2101.2685,975.4,,,,,,
0.1796,287.635,1757.9593,727.2,,,,,,
0.1892,265.8014,1884.5329,850.7,,,,,,
0.1913,237.0107,1894.1536,640.4,,,,,,
0.1981,282.2552,1965.3269,832.9,,,,,,
0.2049,283.4567,1918.33,662.5,,,,,,
0.1851,281.4317,1457.7362,655.1,,,,,,
0.194,264.0528,1710.1394,669.9,,,,,,
0.1755,256.607,1499.058,599.2,,,,,,
0.1824,262.6142,1748.5809,923.4,,,,,,
0.168,288.6626,1651.6789,800,,,,,,
0.1824,294.5206,1869.2442,742.6,,,,,,
0.168,333.5366,1597.0646,765.2,,,,,,
0.1639,242.3833,2190.6296,841,,,,,,
0.1824,231.191,1887.7262,850.5,,,,,,
0.1872,280.6022,1961.0113,896.5,,,,,,
