0.2411,0.5864,1261.662,868.2,,,average,errorbar,errorbar,std
0.2254,2.3727,990.5924,666.1,,delivery_prob,0.214261,0.253826802,0.174695198,0.039565802
0.2418,12.8418,812.2802,555,,overhead,5.178492,9.229057459,1.127926541,4.050565459
0.2281,8.6677,935.0078,597.1,,hopcount_avg,1051.270752,1175.588649,926.9528548,124.3178972
0.263,3.0753,777.1712,403.5,,hopcount_med,691.279,805.8769862,576.6810138,114.5979862
0.2015,6.1017,934.802,594.8,,,,,,
0.1988,11.7526,1132.2498,816.2,,,,,,
0.1919,4.2028,1163.7431,734.5,,,,,,
0.1653,2.8223,1128.0802,726.3,,,,,,
0.1496,7.1187,1144.6995,757.7,,,,,,
0.3163,0.5572,1116.2629,856.3,,,,,,
0.263,3.9403,1017.5013,651.2,,,,,,
0.1673,3.9551,1209.5278,931.8,,,,,,
0.1933,8.2297,888.7311,580,,,,,,
0.1954,1.0839,916.6077,671.5,,,,,,
0.2097,3.1075,999.2866,643.5,,,,,,
0.1769,3.6564,1228.7942,665.6,,,,,,
0.2302,12.6261,901.7053,603.3,,,,,,
0.179,4.9046,1181.9336,778.6,,,,,,
0.1947,7.9123,1150.6646,769.3,,,,,,
0.291,1.3005,1111.5545,803.8,,,,,,
0.209,0.2516,1039.1278,656.4,,,,,,
0.2131,3.0096,1054.8728,722.2,,,,,,
0.1653,0.5868,1073.8496,759,,,,,,
0.2425,5.6,886.2383,591.5,,,,,,
0.2193,10.3956,1104.6648,781.9,,,,,,
0.1954,8.9091,1210.4056,835,,,,,,
0.1646,4.8672,1009.7398,733.7,,,,,,
0.2234,8.792,986.1232,665.3,,,,,,
0.3306,0.4773,1135.5667,855.6,,,,,,
0.1605,4.566,1241.3426,981.7,,,,,,
0.2152,0.854,1086.5883,670.8,,,,,,
0.2418,4.8559,969.9325,525.1,,,,,,
0.237,0.2219,921.5597,658.7,,,,,,
0.168,9.2276,1230.8943,808.3,,,,,,
0.2821,5.9201,898.9225,506.2,,,,,,
0.2541,5.0215,1092.8183,787.4,,,,,,
0.1919,0.9146,1104.0349,741.1,,,,,,
0.1995,7.5342,1128.0274,774.5,,,,,,
0.2131,7.6122,1056.2131,526.6,,,,,,
0.2432,0.7781,896.9778,521.5,,,,,,
0.2486,9.272,1047.853,635.3,,,,,,
0.2958,0.2979,1173.4339,823.4,,,,,,
0.1571,1.0304,1196.4278,837,,,,,,
0.2452,0.351,1123.8705,833.3,,,,,,
0.1783,6.6935,1258.3395,770.5,,,,,,
0.2213,0.1944,983.1185,666.4,,,,,,
0.1612,3.2712,1015.897,729.8,,,,,,
0.2295,12.1637,941.0911,574.1,,,,,,
0.1796,0.1597,973.2114,639.1,,,,,,
0.2077,4.8158,1115.5941,667.6,,,,,,
0.2418,0.7853,952.4042,663,,,,,,
0.2104,9.6104,1007.1808,716.1,,,,,,
0.2213,1.0401,1163.6429,784.7,,,,,,
0.2268,11.5452,783.8238,521.9,,,,,,
0.1646,5.4149,962.5158,598.6,,,,,,
0.2179,1.2571,1197.4044,856.1,,,,,,
0.1926,0.273,1064.284,708.1,,,,,,
0.2411,2.8215,827.9071,541.8,,,,,,
0.2643,0.2274,1068.0778,750.9,,,,,,
0.1981,6.9414,1209.8586,849.3,,,,,,
0.2104,14.3669,1059.7555,604.3,,,,,,
0.2234,3.1774,874.0034,575.8,,,,,,
0.1872,0.2847,1003.6912,657.2,,,,,,
0.2199,7.7174,1210.3314,945.9,,,,,,
0.2022,7.6791,1078.6669,606.6,,,,,,
0.2199,6.8478,975.1196,602.7,,,,,,
0.2077,3.523,1175.5306,732.5,,,,,,
0.278,2.8378,1024.6752,744.4,,,,,,
0.1742,10.6,947.171,656.8,,,,,,
0.2145,13.6306,959.0306,557.9,,,,,,
0.1667,17.2787,803.0217,412.1,,,,,,
0.2083,7.4689,1174.1095,755.6,,,,,,
0.1933,6.1166,1051.9382,622.9,,,,,,
0.1919,10.8648,1108.6758,647,,,,,,
0.1885,0.3188,1103.7047,769,,,,,,
0.194,5.7007,1096.9908,598.9,,,,,,
0.1892,6.704,1062.8166,628.5,,,,,,
0.3033,0.1532,1179.6523,841,,,,,,
0.2302,3.368,1031.9338,711.2,,,,,,
0.2104,4.8409,1083.6088,697.8,,,,,,
0.2923,4.2734,817.2886,535.4,,,,,,
0.1831,0.3731,1051.3306,673.9,,,,,,
0.1441,6.3318,1164.5839,717.1,,,,,,
0.2295,12.506,1013.9304,735.8,,,,,,
0.2213,10.3364,1181.3136,643.1,,,,,,
0.1646,8.8963,1181.9975,797.8,,,,,,
0.1475,1.5,1299.5926,927.8,,,,,,
0.1899,4.8741,1060.0144,704,,,,,,
0.2568,0.6622,942.6402,552.1,,,,,,
0.1885,3.1993,776.2551,459.3,,,,,,
0.2281,3.2066,1115.6198,725.3,,,,,,
0.1673,4.9878,1095.8714,740,,,,,,
0.3053,7.6555,983.4642,663.4,,,,,,
0.1769,7.1737,1311.8687,776.4,,,,,,
0.2193,3.0592,919.7944,648.8,,,,,,
0.2336,0.2895,1052.4635,601.4,,,,,,
0.168,4.313,1103.7045,715,,,,,,
0.2418,9.8644,862.1511,613.2,,,,,,
0.2589,11.4908,992.0691,586.2,,,,,,
