0.1496,1.6743,838.0922,642.7,,,average,errorbar,errorbar,std
0.1366,0.9196,729.5055,547.1,,delivery_prob,0.178491,0.231779326,0.125202674,0.053288326
0.3102,1.8562,576.9223,433.4,,overhead,1.638243,2.09579534,1.18069066,0.45755234
0.1139,1.8735,692.3054,505.8,,hopcount_avg,669.235843,782.4609034,556.0107826,113.2250604
0.1839,1.6493,657.9071,488.2,,hopcount_med,479.466,593.1138685,365.8181315,113.6478685
0.127,1.9243,615.6157,499.1,,,,,,
0.129,2.0266,464.517,199.4,,,,,,
0.1627,1.2363,642.7295,501.3,,,,,,
0.1338,1.4513,599.6395,405.7,,,,,,
0.1682,1.8408,824.458,633.4,,,,,,
0.2203,1.8598,687.3134,484.3,,,,,,
0.256,2.0751,781.6239,540.9,,,,,,
0.1194,1.2586,656.0897,443.6,,,,,,
0.1304,1.8579,521.6,283.9,,,,,,
0.151,1.4136,734.2727,593.8,,,,,,
0.1881,1.6022,687.3427,524.1,,,,,,
0.1091,1.7862,874.2038,702.8,,,,,,
0.1599,1.2661,651.3777,427.8,,,,,,
0.1119,1.9018,589.0558,419.5,,,,,,
0.2636,2.5417,741.9109,548.7,,,,,,
0.1482,1.6667,676.4194,501.1,,,,,,
0.1482,1.2824,809.9,585.9,,,,,,
0.1839,1.3843,643.8235,449.6,,,,,,
0.197,1.1603,627.2906,508,,,,,,
0.2471,1.7639,617.3414,450.1,,,,,,
0.1716,1.888,730.0644,529,,,,,,
0.1146,1.5509,762.0796,602.9,,,,,,
0.2725,1.4131,689.4955,520.2,,,,,,
0.2224,1.3549,663.0623,453.8,,,,,,
0.2258,2.1337,641.6398,469.1,,,,,,
0.2464,1.3844,682.6758,568.2,,,,,,
0.1414,2.199,647.335,417.8,,,,,,
0.2423,1.2606,651.7323,513.6,,,,,,
0.2066,1.3555,657.7764,486.8,,,,,,
0.127,1.3622,906.307,609.8,,,,,,
0.1826,1.5564,742.303,581.6,,,,,,
0.1153,1.881,700.6869,501.2,,,,,,
0.1235,0.9278,793.9794,562.2,,,,,,
0.3082,2.0557,420.4804,221.4,,,,,,
0.2649,1.0389,519.335,309.6,,,,,,
0.2505,2.0301,551.5805,377.4,,,,,,
0.1942,1.2686,518.9908,305.5,,,,,,
0.2533,0.9648,573.3729,437.5,,,,,,
0.1263,1.3478,733.5418,472.2,,,,,,
0.3075,1.6049,669.175,565.4,,,,,,
0.1531,0.8655,731.1462,543.6,,,,,,
0.2148,2.5399,545.9604,362.3,,,,,,
0.2135,2.6431,452.1598,249,,,,,,
0.2011,1.4164,673.5017,476.1,,,,,,
0.1153,1.6667,600.9357,480.9,,,,,,
0.1764,1.3152,438.5019,236.6,,,,,,
0.1675,2.2746,726.1963,533.3,,,,,,
0.2121,1.411,638.5874,567.2,,,,,,
0.1791,1.5747,635.5295,478,,,,,,
0.2183,1.2453,762.9792,576.9,,,,,,
0.2478,1.6898,656.305,476.7,,,,,,
0.1688,1.126,713.2305,582.6,,,,,,
0.116,1.3136,623.6337,471.1,,,,,,
0.2327,1.6372,438.8189,228.4,,,,,,
0.2237,1.5123,780.2595,486.1,,,,,,
0.2011,1.4027,676.8782,558.8,,,,,,
0.0851,1.1694,889.5363,589.7,,,,,,
0.1503,1.6073,560.2201,423,,,,,,
0.1709,1.0321,525.4791,306,,,,,,
0.1359,1.6162,638.2005,455.7,,,,,,
0.1441,1.7476,710.8948,570.6,,,,,,
0.1119,1.0491,661.1785,510.7,,,,,,
0.1819,1.7245,635.2128,397.9,,,,,,
0.1633,2.021,713.0378,497.8,,,,,,
0.1833,1.161,641.5764,529.8,,,,,,
0.1839,1.4216,746.3373,581.5,,,,,,
0.1126,1.561,640.8555,465.1,,,,,,
0.1997,2.189,661.5787,530.7,,,,,,
0.2114,1.6656,659.7328,470.4,,,,,,
0.1572,2.8515,747.9934,579.2,,,,,,
0.199,1.2276,666.9231,516,,,,,,
0.1393,3.0443,688.0517,290.7,,,,,,
0.0679,1.798,935.801,720.9,,,,,,
0.1778,2.0734,831.7181,595.1,,,,,,
0.2684,2.243,677.854,504.9,,,,,,
0.1297,1.127,868.0339,607.8,,,,,,
0.1373,1.22,993.1475,717.3,,,,,,
0.2045,1.443,480.1393,291.8,,,,,,
0.2361,2.0785,645.6017,370.5,,,,,,
0.1064,0.9548,908.9794,608,,,,,,
0.1977,3.2153,594.6101,350.8,,,,,,
0.1325,1.0518,625.4606,319.3,,,,,,
0.186,1.7417,704.6251,539.8,,,,,,
0.1482,1.6852,667.6394,523.6,,,,,,
0.2128,2.1548,415.3842,250.7,,,,,,
0.2533,2.0054,419.1591,206.8,,,,,,
0.1318,1.9531,657.7333,440.9,,,,,,
0.1846,1.1561,677.8695,482,,,,,,
0.28,1.2721,664.9931,528,,,,,,
0.1654,1.4481,711.5996,573.6,,,,,,
0.0844,1.9024,570.861,445.2,,,,,,
0.1572,1.4017,657.0201,480.2,,,,,,
0.1318,1.7969,730.138,468.4,,,,,,
0.1544,1.64,633.5382,413.7,,,,,,
0.1839,1.8881,773.3739,659.5,,,,,,
