0.181,178.4113,1999.6442,686.4,,,average,errorbar,errorbar,std
0.1851,185.0664,1556.5701,588.1,,delivery_prob,0.204338,0.216887416,0.191788584,0.012549416
0.1837,147.3123,2056.9699,741.3,,overhead,156.121992,169.6049831,142.6390009,13.48299107
0.1913,153.3643,1916.5014,863.9,,hopcount_avg,1805.89477,1975.089045,1636.700495,169.1942746
0.2131,165.7596,1787.4372,823.3,,hopcount_med,796.964,900.5284937,693.3995063,103.5644937
0.2049,158.11,1880.9547,810.4,,,,,,
0.2063,132.1424,1862.3795,904,,,,,,
0.2206,148.2786,1903.2328,825.2,,,,,,
0.1694,182.8871,2070.8653,786.2,,,,,,
0.1892,148.7184,1958.1477,916.9,,,,,,
0.2077,145.0855,1568.5921,806.6,,,,,,
0.2008,157.4082,1751.7099,661.4,,,,,,
0.2008,156.0476,1883.2905,830.6,,,,,,
0.1926,156.5638,2109.9025,803.5,,,,,,
0.2124,156.4019,1669.7077,778.5,,,,,,
0.1988,160.2405,1762.8041,815.8,,,,,,
0.1919,142.694,2155.3317,1017.5,,,,,,
0.2042,165.3311,1661.4987,647.4,,,,,,
0.2179,153.0125,1540.0467,636,,,,,,
0.196,144.1498,1898.8603,794.9,,,,,,
0.2097,160.1498,1719.2039,842.5,,,,,,
0.2049,167.22,1565.725,678.6,,,,,,
0.2172,164.3711,1662.3258,658.4,,,,,,
0.1967,141.9653,1563.3493,748.4,,,,,,
0.2097,138.8762,2000.6879,952.2,,,,,,
0.2206,149.195,1586.2774,679.3,,,,,,
0.1995,133.2158,1843.1137,930,,,,,,
0.2124,154.09,1851.3212,797.8,,,,,,
0.196,156.3868,1909.7411,770.6,,,,,,
0.2042,143.913,1522.3054,732.4,,,,,,
0.2056,162.9834,1553.9611,629.6,,,,,,
0.2104,157.3084,1940.7166,773.8,,,,,,
0.1926,158.1986,1716.7677,912,,,,,,
0.1913,154.1714,2010.9018,955.8,,,,,,
0.2029,146.596,2023.9515,959.5,,,,,,
0.2063,152.7119,1855.497,786.9,,,,,,
0.2213,183.3642,1812.3059,766.9,,,,,,
0.2077,155.148,1708.9934,852.9,,,,,,
0.1919,186.5765,1832.3591,659,,,,,,
0.2077,159.1908,1885.6247,788.4,,,,,,
0.2172,163.8585,1700.1789,750.7,,,,,,
0.2152,143.2889,1876.8819,746.7,,,,,,
0.1858,154.3824,1954.7757,781.1,,,,,,
0.2056,149.9535,1980.508,790.5,,,,,,
0.209,189.1111,1843.6111,688,,,,,,
0.1919,150.1423,1971.5491,971,,,,,,
0.2193,183.0436,1743.7822,787.6,,,,,,
0.209,149.6732,1919.6703,937.1,,,,,,
0.1967,136.7986,1929.441,858.7,,,,,,
0.1892,174.0217,2002.0372,710.5,,,,,,
0.1981,161.8759,1533.4659,700.1,,,,,,
0.1878,166.6473,1494.7036,748.9,,,,,,
0.2158,149.8892,1937.0528,907.5,,,,,,
0.2172,149.717,1681.916,739.3,,,,,,
0.196,180.1672,1689.407,751.4,,,,,,
0.1981,148.2483,2051.4248,978.1,,,,,,
0.2036,151.8926,1770.2158,643.7,,,,,,
0.196,142.6202,2220.6073,1044.6,,,,,,
0.1988,166.8557,1643.8969,689.3,,,,,,
0.2179,145.8088,1757.6298,1045.9,,,,,,
0.2193,155.5265,1692.0209,758.6,,,,,,
0.2186,144.5094,1686.7116,776.9,,,,,,
0.1872,165.9307,1651.6332,762.1,,,,,,
0.2439,147.0896,2001.3916,795.4,,,,,,
0.2165,146.7823,1760.7315,783.3,,,,,,
0.2111,146.1003,1488.5877,698.4,,,,,,
0.2152,158.4825,1686.3498,809.8,,,,,,
0.2213,147.6512,1613.7009,584.4,,,,,,
0.1947,159.9649,1770.2586,851.6,,,,,,
0.2275,140.1682,1726.1309,671.9,,,,,,
0.2056,153.5017,1672.5558,826.9,,,,,,
0.1974,151.5017,1846.9128,931.4,,,,,,
0.2008,141.2381,1964.0565,902.6,,,,,,
0.1981,129.1552,1869.949,851,,,,,,
0.2022,166.2432,1853.8436,875.3,,,,,,
0.2213,152.1821,1653.6491,829.8,,,,,,
0.2179,141.0878,1844.4931,817.6,,,,,,
0.1872,165.6131,1837.5788,786.8,,,,,,
0.1885,165.9239,1658.8174,693.5,,,,,,
0.2001,150.9488,1726.4328,767.2,,,,,,
0.194,131.3345,2093.5792,1085.6,,,,,,
0.1995,163.9075,1780.7048,801.8,,,,,,
0.2008,157.0952,1622.1544,695.6,,,,,,
0.2254,138.4091,2091.897,927.7,,,,,,
0.2056,157.691,2166.1485,754.8,,,,,,
0.1981,164.8517,1788.1234,792.8,,,,,,
0.1947,148.8421,1874.8295,842.4,,,,,,
0.2234,137.1131,1525.9453,820,,,,,,
0.1885,183.3007,1714.6181,696.3,,,,,,
0.1906,167.8495,1737.5412,756.1,,,,,,
0.2152,157.2159,1862.0346,852.3,,,,,,
0.2001,154.9078,1778.1962,801.5,,,,,,
0.2083,143.6951,1954.9203,853,,,,,,
0.2124,143.0386,1984.7804,908.3,,,,,,
0.1817,169.3835,1939.5188,751.7,,,,,,
0.2097,176.658,1696.9932,747.7,,,,,,
0.2234,186.0122,1685.1021,563.5,,,,,,
0.2131,166.3654,1548.7609,732.7,,,,,,
0.2234,142.2905,1830.5795,838.7,,,,,,
0.207,172.0231,1644.9122,815.8,,,,,,
