0.1578,1027.587,1733.2196,898,,,average,errorbar,errorbar,std
0.1605,1178.8632,1903.2598,781.5,,delivery_prob,0.157015,0.165608754,0.148421246,0.008593754
0.1632,1042.937,1975.3492,844.9,,overhead,1159.340066,1237.310666,1081.369466,77.97059954
0.1475,1273.4884,1827.6237,790.9,,hopcount_avg,2010.260249,2233.702926,1786.817572,223.4426769
0.1598,1092.0043,1604.8004,744.8,,hopcount_med,886.484,1026.456987,746.5110129,139.9729871
0.1516,1282.8326,2117.9434,956.6,,,,,,
0.1591,1124.7802,2236.8009,1047.6,,,,,,
0.1578,1087.4652,2035.0596,994.6,,,,,,
0.1557,1252.1982,2117.1559,1028.4,,,,,,
0.1523,1120.1982,2135.6347,1010,,,,,,
0.1591,1160.0948,1881.1724,795.5,,,,,,
0.1578,1142.3043,2473.0039,1106.3,,,,,,
0.1481,1136.7685,2248.2088,1269.8,,,,,,
0.1475,1239.8837,2374.7307,972.4,,,,,,
0.1516,1058.8145,2168.9688,920.2,,,,,,
0.1516,1194.0362,2034.5303,957.2,,,,,,
0.1571,1133.2707,1840.0175,834,,,,,,
0.1516,1122.6154,1961.9869,850.5,,,,,,
0.166,1053.6942,1851.1636,787.1,,,,,,
0.1379,1271.6617,2198.3711,1124.3,,,,,,
0.1578,1137.2913,1769.43,961.4,,,,,,
0.1694,1058.7409,2106.5526,907.1,,,,,,
0.1584,1067.2641,2079.5563,893.1,,,,,,
0.1605,1217.406,1871.4885,763,,,,,,
0.1626,1040.4008,1775.5654,987.1,,,,,,
0.1626,1089.9662,2230.8726,1049.9,,,,,,
0.1571,1165.6157,1648.5961,734.3,,,,,,
0.142,1202.2802,2718.6894,1149.4,,,,,,
0.1564,1222.307,2366.2715,890.4,,,,,,
0.131,1321.1466,1870.9042,1038.4,,,,,,
0.1667,1162.3457,2148.7169,881.8,,,,,,
0.1564,1207.6184,1660.2342,589.6,,,,,,
0.1612,1098.9362,2119.503,983.9,,,,,,
0.1516,1162.3937,1997.3172,840,,,,,,
0.1639,1126.6527,2010.9335,880,,,,,,
0.1536,1327.1473,1759.879,777.2,,,,,,
0.1529,1171.4709,2189.0439,883.9,,,,,,
0.1605,1270.953,2069.8197,913.1,,,,,,
0.1536,1100.3304,2169.2312,977,,,,,,
0.1454,1250.9481,1802.9113,890.9,,,,,,
0.1605,1176.9274,1819.4697,856.1,,,,,,
0.1605,1079.3889,2330.7291,845,,,,,,
0.1529,1246.5247,1865.0547,769.3,,,,,,
0.1626,1133.2996,1906.7717,838.7,,,,,,
0.1488,1331.3456,1712.5032,951.8,,,,,,
0.1578,1143.0783,1835.8561,845.8,,,,,,
0.1626,1130.0464,1979.1945,934.5,,,,,,
0.1543,1244.0311,2500.5324,1152.2,,,,,,
0.1584,1130.3939,2143.516,929.6,,,,,,
0.1619,1107.6907,2254.0843,1133.3,,,,,,
0.1667,1079.0247,2061.7621,907.7,,,,,,
0.1502,1092.3242,2325.9192,1161,,,,,,
0.1626,1243.5865,1685.8506,579.1,,,,,,
0.1543,1216.9733,1714.9244,740.1,,,,,,
0.1639,1112.2427,2029.3456,914,,,,,,
0.1728,1145.6389,1748.0044,652.1,,,,,,
0.1358,1281.2071,1955.9141,850.4,,,,,,
0.1612,1193.5234,2101.5872,887.1,,,,,,
0.1509,1169.95,1902.6405,938.1,,,,,,
0.1481,1236.5694,2030.2852,784.2,,,,,,
0.1605,1177.2949,2089.009,1124.2,,,,,,
0.1564,1142.7939,2134.4316,850.1,,,,,,
0.1529,1181.139,2016.7543,765.1,,,,,,
0.1646,1192.0958,2141.3196,893.3,,,,,,
0.1598,1142.0043,2269.9189,971.4,,,,,,
0.1543,1146.3289,2108.0609,900.8,,,,,,
0.1619,1217.9619,1858.7144,824.2,,,,,,
0.1475,1148.8791,2309.9093,1269.9,,,,,,
0.1502,1131.9178,1932.1598,913.9,,,,,,
0.1715,1096.296,2301.8892,795.7,,,,,,
0.1529,1094.5919,2392.8691,1115.4,,,,,,
0.1529,1155,2322.8937,846.8,,,,,,
0.1591,1350.2414,1549.0582,694.1,,,,,,
0.1447,1284.9905,2239.8521,926.4,,,,,,
0.1536,1132.5223,1979.1647,898.8,,,,,,
0.1557,1116.4141,2080.0806,947.5,,,,,,
0.1406,1321.3073,2002.4176,1030.7,,,,,,
0.1619,1059.3517,1876.6297,808.1,,,,,,
0.1811,1092.2652,1615.489,739.6,,,,,,
0.1735,1102.3755,2058.7838,1006.1,,,,,,
0.1598,1086.5837,2340.3712,919.8,,,,,,
0.166,1170.5041,1792.9921,714.4,,,,,,
0.1557,1289.8238,1647.8758,759.9,,,,,,
0.1619,1062.5636,2004.5534,945.9,,,,,,
0.1612,1144.4809,1942.0379,792.9,,,,,,
0.1639,1128.3849,1642.6987,570.6,,,,,,
0.1468,1134.9019,1938.1654,740.9,,,,,,
0.1667,1040.4897,2101.5815,847.1,,,,,,
0.1701,1141.1613,1947.6315,768.3,,,,,,
0.166,1093.376,1609.6612,699.6,,,,,,
0.1406,1252.1463,2010.099,961.9,,,,,,
0.1543,1262.8711,2086.5382,927.5,,,,,,
0.1509,1140.1182,2082.9832,918.6,,,,,,
0.1461,1203.5587,1774.3793,535.9,,,,,,
0.1626,1097.9916,1984.6076,765.7,,,,,,
0.1543,1096.8,1977.7236,911.2,,,,,,
0.1543,1205.6044,1993.9178,762.8,,,,,,
0.1776,978.2664,1823.8745,765.2,,,,,,
0.1722,1055.5737,2118.7793,799.3,,,,,,
0.1509,1172.5545,1937.6855,842.6,,,,,,
