0.2077,24.4901,1480.1168,788.3,,,average,errorbar,errorbar,std
0.1974,34.1661,1828.7851,856.3,,delivery_prob,0.226058,0.249120927,0.202995073,0.023062927
0.2329,37.6041,1113.5833,499.6,,overhead,31.39801,34.70871574,28.08730426,3.310705742
0.2152,36.3111,1398.0883,504.1,,hopcount_avg,1443.387394,1606.912794,1279.861994,163.5254002
0.2363,33.3988,1311.0468,632.4,,hopcount_med,724.848,829.7130306,619.9829694,104.8650306
0.2357,29.9623,1311.0687,704.4,,,,,,
0.2117,30.5194,1494.0829,877,,,,,,
0.2432,37.6461,1215.3652,502,,,,,,
0.2425,29.2676,1504.1915,661.3,,,,,,
0.196,28.5505,1578.1498,834.6,,,,,,
0.1988,35.4055,1598.3402,820.6,,,,,,
0.2343,28.9592,1275.4026,678.9,,,,,,
0.2309,27.355,1578.6328,771.5,,,,,,
0.2029,35.468,1366.238,651.3,,,,,,
0.235,26.3256,1551.8459,887.5,,,,,,
0.2083,28.7148,1512.5557,793.5,,,,,,
0.2377,32.569,1458.8037,669.6,,,,,,
0.2165,27.5268,1366.5022,598.5,,,,,,
0.2329,24.5425,1634.0273,829.7,,,,,,
0.25,28.2869,1329.4216,773.9,,,,,,
0.2473,31.558,1245.1583,732,,,,,,
0.2637,30.785,1418.4368,696.6,,,,,,
0.207,27.1188,1608.7888,756.9,,,,,,
0.1831,31.6828,1534.2399,838.8,,,,,,
0.2063,40.202,1261.5368,571.3,,,,,,
0.265,31.3067,1446.8912,786.1,,,,,,
0.2384,30.3782,1485.5097,804.9,,,,,,
0.2117,24.071,1769.6677,810.1,,,,,,
0.2206,33.8978,1163.1545,597.6,,,,,,
0.2534,28.9407,1465.3197,833.6,,,,,,
0.2179,32.3354,1372.6724,679.5,,,,,,
0.207,29.2607,1541.1023,687.7,,,,,,
0.2179,32.5862,1254.727,680.7,,,,,,
0.2466,30.0637,1494.5452,780.3,,,,,,
0.2404,31.1847,1320.5642,802.1,,,,,,
0.2145,34.3185,1442.8713,583.4,,,,,,
0.2363,30.2023,1426.602,660.1,,,,,,
0.2309,31.1982,1383.2769,603.3,,,,,,
0.2042,34.1906,1388.7084,652.9,,,,,,
0.2787,34.6275,1075.065,608.8,,,,,,
0.2036,33.8456,1317.2128,658,,,,,,
0.2186,34.55,1552.9159,731.1,,,,,,
0.2418,29.3672,1548.0751,705.2,,,,,,
0.2432,27.7444,1633.6879,881.4,,,,,,
0.252,30.1247,1284.3138,649.1,,,,,,
0.1783,26.2146,1894.2088,1019.6,,,,,,
0.25,35.1175,1209.1183,641.7,,,,,,
0.2247,35.541,1168.9109,714.7,,,,,,
0.276,27.7302,1374.4248,746.8,,,,,,
0.1844,38.2185,1440.3307,757.3,,,,,,
0.1919,35.0854,1430.7121,678,,,,,,
0.207,27.9472,1819.1254,886.8,,,,,,
0.2111,30.4628,1496.8693,673.4,,,,,,
0.222,34.2062,1364.1388,681.3,,,,,,
0.224,34.1951,1248.3869,657.3,,,,,,
0.2234,34.581,1313.5703,599.3,,,,,,
0.2227,30.4018,1668.7715,888.6,,,,,,
0.2445,26.7151,1749.4561,933.8,,,,,,
0.2322,31.8324,1297.6509,655,,,,,,
0.2807,30.7153,1343.1628,654.6,,,,,,
0.2254,33.4091,1387.6452,773.2,,,,,,
0.2145,32.6497,1458.8255,559.3,,,,,,
0.2391,32.2371,1246.1103,673.9,,,,,,
0.2261,35.5257,1441.7822,666.4,,,,,,
0.2117,31.6677,1686.9187,861.5,,,,,,
0.2391,32.2743,1255.0769,615.9,,,,,,
0.222,33.5323,1420.8889,714.1,,,,,,
0.2165,30.1672,1331.571,651.1,,,,,,
0.2234,28.7829,1474.7095,751.8,,,,,,
0.1803,31.3485,1569.9311,841.3,,,,,,
0.1735,29.8819,1391.8039,818.5,,,,,,
0.2165,27.0252,1745.1798,762.2,,,,,,
0.224,30.8171,1376.4588,559.8,,,,,,
0.2138,25.2812,1457.8492,737.2,,,,,,
0.2425,27.9239,1614.0251,873,,,,,,
0.2582,29.3889,1422.4246,691.8,,,,,,
0.2295,32.6488,1413.6562,676.4,,,,,,
0.2575,30.8302,1499.7629,818.2,,,,,,
0.2746,29.0846,1363.9294,726.1,,,,,,
0.2357,29.8203,1505.731,768.3,,,,,,
0.1933,33.1449,1313.1477,626.7,,,,,,
0.2193,38.1589,1351.4321,644.6,,,,,,
0.2466,35.5568,1406.3518,627.1,,,,,,
0.2275,25.7057,1624.2913,825.8,,,,,,
0.2452,31.1086,1334.4201,734.1,,,,,,
0.1885,33.3478,1424.7797,640.5,,,,,,
0.2281,32.7635,1442.5198,706.5,,,,,,
0.2254,31.5212,1384.9909,802.5,,,,,,
0.2288,31.0776,1720.1496,860.4,,,,,,
0.2015,34.9695,1309.8302,690.5,,,,,,
0.2343,36.9271,1180.1796,528.2,,,,,,
0.2582,34.0556,1537.3,805.8,,,,,,
0.252,30.7859,1467.8715,803.8,,,,,,
0.252,29.645,1650.5038,879.9,,,,,,
0.1851,28.5055,1790.0506,907.1,,,,,,
0.2097,33.2085,1396.9902,684,,,,,,
0.2336,34.7836,1332.4091,578.5,,,,,,
0.1851,31.203,1564.5435,749.2,,,,,,
0.237,29.4841,1281.7706,729.7,,,,,,
0.2418,27.9774,1600.7975,805.2,,,,,,
