0.2411,33.8980,1754.2337,853.7000
0.1714,56.5618,1440.6920,609.9000
0.2684,13.4427,1735.1753,957.4000
0.2357,47.8783,1412.7278,690.7000
0.2657,35.4113,1533.0398,864.9000
0.2561,26.9013,1394.8920,722.4000
0.2848,12.5084,1846.9182,1134.7000
0.2179,58.5893,1332.9702,688.8000
0.2835,12.0434,1665.1492,883.0000
0.2302,17.1602,1834.7139,1084.9000
0.3374,6.1680,1817.9674,1164.4000
0.2671,7.0153,1839.0777,1167.2000
0.2862,1.8520,2053.6365,1401.0000
0.2070,38.4521,1725.6043,975.8000
0.2848,3.3309,1622.3029,968.1000
0.2978,18.1124,1658.7174,1039.0000
0.2445,13.2849,1869.3902,1171.3000
0.2398,38.8604,1411.9436,667.0000
0.3040,13.8674,1745.8980,1018.9000
0.2671,8.6215,1903.6614,1257.7000
0.3060,17.1629,1586.1875,939.9000
0.3074,5.1489,2099.0638,1310.8000
0.2350,49.7587,1203.8811,696.6000
0.1810,61.2642,1399.4219,631.1000
0.2630,25.1247,1519.2506,883.3000
0.2691,18.6244,1613.7195,919.0000
0.2234,19.0153,1878.7446,1160.4000
0.2199,23.1646,1625.0618,872.9000
0.2439,29.2325,1569.9317,847.4000
0.2787,20.3873,1728.2176,1024.8000
0.2739,19.7431,1702.5880,1007.0000
0.2862,23.9618,1589.8041,876.2000
0.2363,5.9220,1806.4419,1018.5000
0.2411,24.3088,1695.9776,1024.6000
0.2411,19.7847,1765.9646,1010.7000
0.3299,15.2816,1839.5416,992.8000
0.2486,9.5412,2117.2398,1312.3000
0.2999,15.1549,1576.1820,873.5000
0.3327,19.1499,1658.1873,949.6000
0.2541,19.1720,1823.7237,1066.0000
0.3197,16.4167,1901.7682,1260.5000
0.2657,34.7969,1560.1260,803.8000
