0.2193,164.6262,1746.6907,806.1,,,average,errorbar,errorbar,std
0.2117,185.7194,1633.4661,740.4,,delivery_prob,0.205823,0.221060764,0.190585236,0.015237764
0.2008,177.9048,1845.351,844.4,,overhead,176.400667,193.0315169,159.7698171,16.63084994
0.2008,145.6224,2201.2333,1173.2,,hopcount_avg,1771.139143,1945.788516,1596.48977,174.6493733
0.2172,169.9937,1955.5506,653.9,,hopcount_med,767.89,887.0089241,648.7710759,119.1189241
0.1988,215.1306,1540.7117,573.5,,,,,,
0.1995,164.9486,1772.3911,730.8,,,,,,
0.2008,187.0884,1771.4088,799,,,,,,
0.1851,217.9262,1438.9557,513,,,,,,
0.1872,170.7993,1879.0701,745.5,,,,,,
0.2001,185.116,1780.8321,757.6,,,,,,
0.2193,175.5919,1558.4486,658.6,,,,,,
0.2234,168.6483,1843.0064,765.4,,,,,,
0.2063,183.149,1702.1536,916.4,,,,,,
0.2015,189.6373,1674.5915,548,,,,,,
0.2042,165.4682,1876.6318,1051.6,,,,,,
0.1817,172.5338,2292.956,775,,,,,,
0.1988,218.3711,1478.5478,566,,,,,,
0.2152,183.7429,1593.0568,788.3,,,,,,
0.2199,162.5683,1603.2792,835.5,,,,,,
0.2452,146.1866,1706.0852,794.7,,,,,,
0.2275,188.4444,1810.3574,752.6,,,,,,
0.196,189.7526,1903.4362,758.8,,,,,,
0.2077,195.1711,1903.7539,816.4,,,,,,
0.2186,149.1813,1907.4381,969.9,,,,,,
0.2001,161.8157,2063.401,1024.4,,,,,,
0.1954,172.7483,1844.0259,750.7,,,,,,
0.194,167.2148,1713.1211,989.1,,,,,,
0.1899,180.1619,1617.3291,694,,,,,,
0.2104,161.1234,1611.7565,705,,,,,,
0.2097,180.5798,1745.828,705.9,,,,,,
0.1947,180.0105,1548.9323,618.7,,,,,,
0.2104,154.3506,1732.6357,771.5,,,,,,
0.1947,160.607,1721.4204,845.3,,,,,,
0.2179,196.9624,1531.8687,717.9,,,,,,
0.2138,183.3866,1542.5476,709.8,,,,,,
0.1885,196.7536,1915.9746,718.8,,,,,,
0.2357,162.142,1883.893,783.9,,,,,,
0.2309,145.8521,1728.3334,704.9,,,,,,
0.1858,197.75,1845.8412,731.2,,,,,,
0.1913,195.8286,1848.7632,833.5,,,,,,
0.1878,184.1309,1700.9975,740.3,,,,,,
0.2083,155.8754,1796.0715,810.4,,,,,,
0.1906,209.4373,1540.1505,619.6,,,,,,
0.1837,201.9294,1607.3413,752.9,,,,,,
0.2001,189.0102,1711.2447,709.2,,,,,,
0.2097,185.5049,1660.4756,655.3,,,,,,
0.2063,192.9967,2049.551,753.1,,,,,,
0.1995,178.7979,1877.2134,835.8,,,,,,
0.2015,172.9424,1805.8366,649.4,,,,,,
0.2158,170.3829,1794.0484,746.7,,,,,,
0.2111,168.2298,1495.5369,783.3,,,,,,
0.2056,150.6146,1834.8694,820.6,,,,,,
0.2083,159.8951,1600.6961,876.7,,,,,,
0.2097,177.7622,1848.4844,871.4,,,,,,
0.2049,163.5333,1957.0927,785.1,,,,,,
0.1899,183.6727,1842.1032,700.7,,,,,,
0.179,174.958,1924.0011,914,,,,,,
0.2117,191.9903,1960.1839,616.3,,,,,,
0.2049,173.0133,1944.7327,777.3,,,,,,
0.2165,171.3091,2004.8101,819.2,,,,,,
0.2377,147.5977,1671.3046,795.7,,,,,,
0.224,167.2439,1453.1418,726.2,,,,,,
0.1783,187.3563,2008.7751,843.8,,,,,,
0.2131,177.7628,1802.8269,807.2,,,,,,
0.2165,192.1199,1663.6202,586,,,,,,
0.2097,155.4625,1903.0723,921.9,,,,,,
0.1995,183.8562,1969.2993,828,,,,,,
0.2015,175.5797,1706.4088,988,,,,,,
0.2036,171.3154,1661.2386,736.2,,,,,,
0.1919,168.1886,1701.8281,892.7,,,,,,
0.1831,169.9104,1566.7713,720.7,,,,,,
0.1885,177.8297,1901.8217,758.5,,,,,,
0.2049,172.2767,2028.0543,918.6,,,,,,
0.1933,181.9505,1713.2283,744.6,,,,,,
0.2343,157.9504,1719.8472,781.4,,,,,,
0.2083,152.5213,1699.5774,828.4,,,,,,
0.2254,181.9667,1810.8636,739,,,,,,
0.2254,181.5242,1569.2594,756.8,,,,,,
0.2357,164.371,1637.12,715.9,,,,,,
0.1974,175.8374,1771.2592,905.5,,,,,,
0.1865,201.7143,1656.4744,519,,,,,,
0.2097,169.2899,1950.0515,899.5,,,,,,
0.1817,194.4812,1306.0771,556.6,,,,,,
0.2029,166.1515,2318.6448,952.4,,,,,,
0.1831,189.5896,1881.122,618.9,,,,,,
0.1919,159.8754,1697.5477,715.9,,,,,,
0.2063,153.5728,1686.2073,706,,,,,,
0.2097,166.3909,1784.0287,747.6,,,,,,
0.2193,201.081,1687.6165,697.8,,,,,,
0.2261,194.2417,1595.6843,566.4,,,,,,
0.235,163.436,1907.4279,772.7,,,,,,
0.1892,191.1949,1741.7903,705.8,,,,,,
0.2199,130.9627,1847.8248,834,,,,,,
0.1865,177.3077,1909.5209,908.3,,,,,,
0.2111,180.657,1657.3997,683.1,,,,,,
0.2083,202.1279,1781.7757,813.8,,,,,,
0.1913,179.5893,1754.3139,601,,,,,,
0.2097,176.9479,2021.0215,982.6,,,,,,
0.2473,172.2376,1699.5508,636,,,,,,
